TrialName,PreempAllowed,NumRows,NumShapes,[Shape Color Radius Position],TimeSpentOnFrame,UserAnswer1,CorrectAnswer1,IsCorrect1,UserAnswer2,CorrectAnswer2,IsCorrect2,Frame,FrameAnswered,TimeToAnswer1FromBegin,TimeToStart2,TimeToFinish2
mtn-practice2,no,3,3,[s g 0.040000 2] [s g 0.040000 1] [s g 0.040000 4] ,0.3266,no,no,correct,,,,1,6,2.1326,0.0000,1.2820
mtn-practice2,no,3,3,[s g 0.040000 3] [s r 0.040000 6] [s r 0.040000 5] ,0.1712,no,no,correct,,,,2,6,2.1326,0.0000,1.2820
mtn-practice2,no,3,3,[s g 0.040000 8] [s r 0.040000 9] [s g 0.040000 7] ,0.2458,no,no,correct,,,,3,6,2.1326,0.0000,1.2820
mtn-practice2,no,3,3,[s g 0.040000 11] [s g 0.040000 13] [s g 0.040000 10] ,0.1364,no,no,correct,,,,4,6,2.1326,0.0000,1.2820
mtn-practice2,no,3,3,[s r 0.040000 15] [s g 0.040000 14] [s g 0.040000 12] ,0.1272,no,no,correct,,,,5,6,2.1326,0.0000,1.2820
mtn-practice2,no,3,3,[s g 0.040000 16] [s g 0.040000 17] [s g 0.040000 18] ,0.9531,no,no,correct,,,,6,6,2.1326,0.0000,1.2820
mtn-practice1,no,3,3,[c b 0.040000 2] [c k 0.040000 1] [c y 0.040000 3] ,0.1011,no,yes,incorrect,,,,1,6,1.2912,0.0000,0.7607
mtn-practice1,no,3,3,[c b 0.040000 6] [c y 0.040000 5] [c y 0.040000 4] ,0.1159,no,yes,incorrect,,,,2,6,1.2912,0.0000,0.7607
mtn-practice1,no,3,3,[c b 0.040000 8] [c b 0.040000 7] [c y 0.040000 9] ,0.1114,no,yes,incorrect,,,,3,6,1.2912,0.0000,0.7607
mtn-practice1,no,3,3,[c b 0.040000 11] [c k 0.040000 14] [c y 0.040000 12] ,0.1008,no,yes,incorrect,,,,4,6,1.2912,0.0000,0.7607
mtn-practice1,no,3,3,[c b 0.040000 10] [c b 0.040000 16] [c b 0.040000 13] ,0.1209,no,yes,incorrect,,,,5,6,1.2912,0.0000,0.7607
mtn-practice1,no,3,3,[c b 0.040000 15] [c y 0.040000 17] [c k 0.040000 18] ,0.5934,no,yes,incorrect,,,,6,6,1.2912,0.0000,0.7607
most-practice1,no,3,3,[q r 0.040000 2] [q k 0.040000 1] [q w 0.040000 4] ,0.1117,no,no,correct,,,,1,6,0.8417,0.0000,0.6019
most-practice1,no,3,3,[q k 0.040000 5] [q w 0.040000 8] [q r 0.040000 7] ,0.0961,no,no,correct,,,,2,6,0.8417,0.0000,0.6019
most-practice1,no,3,3,[q r 0.040000 3] [q r 0.040000 6] [q w 0.040000 9] ,0.0872,no,no,correct,,,,3,6,0.8417,0.0000,0.6019
most-practice1,no,3,3,[q w 0.040000 13] [q r 0.040000 10] [q w 0.040000 11] ,0.1160,no,no,correct,,,,4,6,0.8417,0.0000,0.6019
most-practice1,no,3,3,[q r 0.040000 12] [q k 0.040000 15] [q w 0.040000 14] ,0.1054,no,no,correct,,,,5,6,0.8417,0.0000,0.6019
most-practice1,no,3,3,[q w 0.040000 17] [q r 0.040000 16] [q w 0.040000 18] ,0.1605,no,no,correct,,,,6,6,0.8417,0.0000,0.6019
most-practice3,no,3,3,[t r 0.040000 1] [t b 0.040000 2] [t b 0.040000 3] ,0.0868,no,no,correct,,,,1,6,1.5179,0.0000,0.5358
most-practice3,no,3,3,[t b 0.040000 5] [t r 0.040000 6] [t r 0.040000 4] ,0.1115,no,no,correct,,,,2,6,1.5179,0.0000,0.5358
most-practice3,no,3,3,[t r 0.040000 8] [t k 0.040000 7] [t r 0.040000 9] ,0.1021,no,no,correct,,,,3,6,1.5179,0.0000,0.5358
most-practice3,no,3,3,[t b 0.040000 11] [t b 0.040000 14] [t b 0.040000 12] ,0.1207,no,no,correct,,,,4,6,1.5179,0.0000,0.5358
most-practice3,no,3,3,[t b 0.040000 16] [t r 0.040000 13] [t r 0.040000 10] ,0.1161,no,no,correct,,,,5,6,1.5179,0.0000,0.5358
most-practice3,no,3,3,[t b 0.040000 15] [t r 0.040000 17] [t b 0.040000 18] ,0.8366,no,no,correct,,,,6,6,1.5179,0.0000,0.5358
most-practice2,no,3,3,[c y 0.040000 2] [c g 0.040000 3] [c y 0.040000 6] ,0.1325,yes,yes,correct,,,,1,6,1.1885,0.0000,0.3207
most-practice2,no,3,3,[c g 0.040000 1] [c y 0.040000 5] [c y 0.040000 4] ,0.1023,yes,yes,correct,,,,2,6,1.1885,0.0000,0.3207
most-practice2,no,3,3,[c y 0.040000 8] [c g 0.040000 9] [c y 0.040000 7] ,0.1104,yes,yes,correct,,,,3,6,1.1885,0.0000,0.3207
most-practice2,no,3,3,[c y 0.040000 10] [c y 0.040000 11] [c y 0.040000 12] ,0.1265,yes,yes,correct,,,,4,6,1.1885,0.0000,0.3207
most-practice2,no,3,3,[c y 0.040000 14] [c y 0.040000 13] [c y 0.040000 16] ,0.1361,yes,yes,correct,,,,5,6,1.1885,0.0000,0.3207
most-practice2,no,3,3,[c y 0.040000 17] [c y 0.040000 15] [c g 0.040000 18] ,0.4408,yes,yes,correct,,,,6,6,1.1885,0.0000,0.3207
mtn-practice3,no,3,3,[t b 0.040000 2] [t b 0.040000 1] [t b 0.040000 4] ,0.1207,yes,yes,correct,,,,1,6,1.1297,0.0000,0.3407
mtn-practice3,no,3,3,[t b 0.040000 3] [t w 0.040000 5] [t w 0.040000 6] ,0.1221,yes,yes,correct,,,,2,6,1.1297,0.0000,0.3407
mtn-practice3,no,3,3,[t k 0.040000 8] [t b 0.040000 7] [t w 0.040000 11] ,0.1166,yes,yes,correct,,,,3,6,1.1297,0.0000,0.3407
mtn-practice3,no,3,3,[t w 0.040000 9] [t w 0.040000 12] [t k 0.040000 15] ,0.1011,yes,yes,correct,,,,4,6,1.1297,0.0000,0.3407
mtn-practice3,no,3,3,[t w 0.040000 14] [t k 0.040000 10] [t w 0.040000 13] ,0.1163,yes,yes,correct,,,,5,6,1.1297,0.0000,0.3407
mtn-practice3,no,3,3,[t b 0.040000 17] [t b 0.040000 16] [t b 0.040000 18] ,0.3987,yes,yes,correct,,,,6,6,1.1297,0.0000,0.3407
